Source,Target,gs
1,23,-1
2,15,-1
3,4,-1
4,49,-1
5,23,-1
6,20,-1
7,3,-1
8,11,-1
9,34,-1
10,43,-1
11,39,-1
12,18,-1
13,34,-1
14,23,-1
15,30,-1
16,44,-1
17,49,-1
18,53,-1
19,35,-1
20,35,-1
21,12,-1
22,15,-1
23,15,-1
24,37,-1
25,12,-1
26,37,-1
27,4,-1
28,35,-1
29,15,1
30,8,1
31,27,1
32,27,1
33,43,1
34,36,1
35,43,1
36,15,1
37,17,1
38,39,1
39,11,1
40,36,1
41,26,1
42,14,1
43,34,1
44,17,1
45,44,1
46,36,1
47,35,1
48,49,1
49,4,1
50,34,1
51,53,1
52,24,1
53,18,1
54,53,1
55,21,1
56,39,1
1,15,-1
2,21,-1
3,27,-1
4,17,-1
5,30,-1
6,36,-1
7,53,-1
8,39,-1
9,44,-1
10,44,-1
11,8,-1
12,53,-1
13,44,-1
14,18,-1
15,8,-1
16,14,-1
17,36,-1
18,24,-1
19,43,-1
20,12,-1
21,24,-1
22,21,-1
23,12,-1
24,53,-1
25,47,-1
26,5,-1
27,23,-1
28,12,-1
29,34,1
30,15,1
31,44,1
32,35,1
33,34,1
34,9,1
35,44,1
36,20,1
37,45,1
38,14,1
39,23,1
40,37,1
41,47,1
42,9,1
43,35,1
44,45,1
45,17,1
46,43,1
47,12,1
48,36,1
49,17,1
50,47,1
51,18,1
52,15,1
53,14,1
54,14,1
55,15,1
56,9,1
1,37,-1
2,9,-1
3,5,-1
4,5,-1
5,8,-1
7,8,-1
8,23,-1
9,39,-1
11,14,-1
12,28,-1
14,53,-1
15,21,-1
16,17,-1
17,53,-1
18,14,-1
19,20,-1
21,5,-1
22,23,-1
23,53,-1
24,44,-1
25,39,-1
27,53,-1
29,36,1
31,24,1
32,4,1
33,39,1
34,14,1
35,28,1
36,37,1
37,49,1
38,11,1
39,8,1
40,34,1
41,37,1
44,49,1
45,53,1
47,21,1
48,26,1
49,30,1
50,49,1
51,15,1
52,5,1
53,24,1
54,5,1
55,30,1
56,28,1
1,2,-1
2,1,-1
3,32,-1
4,32,-1
5,46,-1
6,46,-1
7,55,-1
8,38,-1
9,55,-1
10,29,-1
11,38,-1
12,19,-1
13,55,-1
14,16,-1
15,55,-1
16,46,-1
17,10,-1
18,48,-1
19,32,-1
20,54,-1
21,55,-1
22,55,-1
23,56,-1
24,22,-1
25,41,-1
26,41,-1
27,31,-1
28,41,-1
29,46,1
30,55,1
31,55,1
32,48,1
33,38,1
34,50,1
35,51,1
36,55,1
37,46,1
38,48,1
39,56,1
40,29,1
41,55,1
42,56,1
43,46,1
44,16,1
45,16,1
46,48,1
47,41,1
48,55,1
49,56,1
50,40,1
51,41,1
52,55,1
53,41,1
54,48,1
55,22,1
56,38,1
1,22,-1
2,25,-1
3,1,-1
4,50,-1
6,50,-1
7,46,-1
8,48,-1
9,16,-1
10,22,-1
11,48,-1
12,25,-1
13,16,-1
14,46,-1
15,22,-1
16,50,-1
17,56,-1
18,41,-1
19,2,-1
20,46,-1
21,22,-1
22,56,-1
23,55,-1
24,40,-1
25,56,-1
26,16,-1
27,32,-1
28,55,-1
29,40,1
30,46,1
31,50,1
32,38,1
33,42,1
34,16,1
35,19,1
36,46,1
37,7,1
38,56,1
39,38,1
40,56,1
41,29,1
42,38,1
43,32,1
44,29,1
45,55,1
46,54,1
47,25,1
48,38,1
49,38,1
50,41,1
51,46,1
52,22,1
53,54,1
54,51,1
55,56,1
56,54,1
2,32,-1
3,25,-1
6,29,-1
7,56,-1
8,56,-1
10,46,-1
11,7,-1
12,32,-1
14,31,-1
15,46,-1
16,55,-1
19,51,-1
20,29,-1
21,48,-1
22,46,-1
23,22,-1
25,29,-1
27,56,-1
28,16,-1
29,50,1
30,1,1
33,10,1
34,10,1
35,41,1
36,40,1
37,40,1
38,42,1
39,7,1
40,16,1
42,19,1
43,51,1
44,10,1
47,16,1
49,16,1
50,55,1
53,48,1
56,55,1
