"","ID","GPA_1","GPA_2","GPA_3","GPA_4","GPA_5","GPA_6","Degrees_1","Degrees_2","Degrees_3","Degrees_4","Degrees_5","Degrees_6","avg_degrees","Homophily_1","Homophily_2","Homophily_3","Homophily_4","Homophily_5","Homophily_6","GPA_Diff1","GPA_Diff2","GPA_Diff3","GPA_Diff4","GPA_Diff5","GPA_Diff6"
"1","X1",3.375,3.25,3.375,3.375,3.375,3.375,10,15,24,24,27,26,21,"0.704124148376215","0.779004236285767","0.572212126063983","0.706048527607779","0.818792417739448","0.717181629572257","0.610714285714286","0.611507936507937","0.401537698412698","0.369295634920635","0.581349206349206","0.557692307692308"
"2","X2",3.125,3.375,3.125,3.125,3.25,3.25,18,26,26,25,50,55,33.3333333333333,"0.946278814147452","0.636190803489091","0.868486854304527","0.807506239313736","0.763718080264209","0.830395253512613","0.805555555555556","0.394459706959707","0.701694139194139","0.607142857142857","0.568571428571429","0.633982683982684"
"3","X3",4.125,4.125,4.125,4.125,4.125,4.125,28,31,28,33,40,30,31.6666666666667,"0.548408739989193","0.48326163081534","0.526170419708873","0.506985830210896","0.610201794621034","0.612957489533991","-0.0680272108843537","-0.158986175115207","-0.137542517006803","-0.0876623376623376","-0.218452380952381","-0.176388888888889"
"4","X4",5,5,5,5,5,5,36,34,32,39,51,37,38.1666666666667,"1.03309207068171","1.0655446514162","1.14937416730755","1.04324318168114","1.04449629013757","0.975349443085895","-0.855820105820106","-0.942577030812325","-1.01190476190476","-0.897283272283272","-0.871848739495798","-0.790862290862291"
"5","X5",3.5,3.5,3.66666666666667,3.66666666666667,4,4,22,20,34,18,34,31,26.5,"0.973042583182704","0.65593509613386","0.784840439074034","0.767101828996244","0.646510265612813","0.567861208511596","0.829545454545455","0.40952380952381","0.492822128851541","0.650462962962963","0.271008403361345","0.315284178187404"
"6","X6",3.5,3.66666666666667,3.66666666666667,3.66666666666667,3.66666666666667,3.66666666666667,4,17,18,8,22,7,12.6666666666667,"0.939118972465387","0.597307327722366","0.713712291876574","0.852999243698708","0.732932123058422","0.487145458860862","0.708333333333333","0.180672268907563","0.484126984126984","0.565476190476191","0.462662337662338","0.274659863945578"
"7","X7",4.42857142857143,4.14285714285714,4.28571428571429,4.28571428571429,4.14285714285714,4.14285714285714,22,33,30,13,32,45,29.1666666666667,"0.57097181420448","0.545333118684937","0.60037859685502","0.644172189749834","0.598073603453114","0.558751436959547","-0.360389610389611","-0.162157287157288","-0.282936507936508","-0.0755494505494504","-0.178943452380953","-0.232407407407408"
"8","X8",3.57142857142857,3.42857142857143,3.57142857142857,3.57142857142857,3.71428571428571,3.71428571428571,6,2,19,7,16,11,10.1666666666667,"0.520915526394347","0.210448446781711","0.591684253128648","0.627755506569641","0.658136931975526","0.703602009282593","0.365079365079365","0.0297619047619049","0.258771929824561","0.208333333333333","0.286086309523809","0.364177489177489"
"9","X9",3.375,3.375,3.42857142857143,3.42857142857143,3.42857142857143,3.42857142857143,3,6,7,12,0,1,4.83333333333333,"0.478713553878169","0.425022508407568","0.643777685583161","0.509502600248383","NaN","0.446428571428572","0.0833333333333333","0.181547619047619","0.168367346938776","0.147321428571429","NaN","0.446428571428572"
"10","X10",4.125,4.125,4.14285714285714,4.14285714285714,4.14285714285714,4.14285714285714,7,36,37,46,21,30,29.5,"0.731783275450253","0.634124159409248","0.666940241946116","0.669899019327413","0.612669920501146","0.59333027592272","-0.284863945578231","-0.242559523809524","-0.305823680823681","-0.211568322981367","-0.261904761904762","-0.219047619047619"
